Model,Mostra,Precisio
Logistic Regression OvO,1,0.683076694708165
Logistic Regression OvO,2,0.6646199320210375
Logistic Regression OvO,3,0.7000607292112536
Logistic Regression OvO,4,0.6787488475156512
Logistic Regression OvO,5,0.6971302852468871
Logistic Regression OvO,6,0.6367075641303398
Logistic Regression OvO,7,0.6591519890214993
Logistic Regression OvO,8,0.6812150250355392
Logistic Regression OvO,9,0.6605149877958757
Logistic Regression OvO,10,0.6826302133404454
Logistic Regression OvR,1,0.6242570039593044
Logistic Regression OvR,2,0.5942133900418314
Logistic Regression OvR,3,0.6498281742582334
Logistic Regression OvR,4,0.6029996396773498
Logistic Regression OvR,5,0.6391606257315088
Logistic Regression OvR,6,0.5818596879694004
Logistic Regression OvR,7,0.5942105855312857
Logistic Regression OvR,8,0.6430241156928448
Logistic Regression OvR,9,0.5876659325798292
Logistic Regression OvR,10,0.596912529344431
Decision Tree,1,0.8534030611738422
Decision Tree,2,0.852228892103991
Decision Tree,3,0.8959584040360697
Decision Tree,4,0.8771364334179502
Decision Tree,5,0.8724892828789504
Decision Tree,6,0.8478644544504074
Decision Tree,7,0.8488773782216185
Decision Tree,8,0.8926031740419237
Decision Tree,9,0.8978584755993761
Decision Tree,10,0.8578635474364967
Random Forest,1,0.8807801156638367
Random Forest,2,0.8632552525236247
Random Forest,3,0.9146357562327546
Random Forest,4,0.8926181090896815
Random Forest,5,0.8870630638413107
Random Forest,6,0.8622223938404369
Random Forest,7,0.8873953232825306
Random Forest,8,0.895629986556667
Random Forest,9,0.8947950300754113
Random Forest,10,0.8598979240018032
Gradient Boosting,1,0.8764956849125382
Gradient Boosting,2,0.898641100857887
Gradient Boosting,3,0.9267965048963668
Gradient Boosting,4,0.893909630640311
Gradient Boosting,5,0.9065044761907508
Gradient Boosting,6,0.8954798226003947
Gradient Boosting,7,0.8835906750791267
Gradient Boosting,8,0.9132200079109674
Gradient Boosting,9,0.8948108433970431
Gradient Boosting,10,0.8778993199879704
KNN,1,0.7027316212796504
KNN,2,0.711965539928725
KNN,3,0.7413912542574463
KNN,4,0.696093456539704
KNN,5,0.7260239797210347
KNN,6,0.6841996251497245
KNN,7,0.6901206668061658
KNN,8,0.7715101366216985
KNN,9,0.7260288666112674
KNN,10,0.699701420487369
XGBoost,1,0.8883764394547794
XGBoost,2,0.9001915824458248
XGBoost,3,0.9136878272824456
XGBoost,4,0.905001871075029
XGBoost,5,0.8887624062119261
XGBoost,6,0.9032708685590943
XGBoost,7,0.8921775136011166
XGBoost,8,0.9045567996672097
XGBoost,9,0.9036067856697306
XGBoost,10,0.8888005356517054
