Model,Mostra,Precisio
Logistic Regression OvO,1,0.6883062196657249
Logistic Regression OvO,2,0.6899639196380734
Logistic Regression OvO,3,0.659807628876658
Logistic Regression OvO,4,0.6911162066539452
Logistic Regression OvO,5,0.6670197658057745
Logistic Regression OvO,6,0.6742894254940222
Logistic Regression OvO,7,0.6887170431380981
Logistic Regression OvO,8,0.6700554408532825
Logistic Regression OvO,9,0.6920015485869144
Logistic Regression OvO,10,0.6444143196075228
Logistic Regression OvR,1,0.6335237042054729
Logistic Regression OvR,2,0.6271481484138314
Logistic Regression OvR,3,0.5990326701131129
Logistic Regression OvR,4,0.649198229114737
Logistic Regression OvR,5,0.6208399402942159
Logistic Regression OvR,6,0.6314367385351983
Logistic Regression OvR,7,0.6199139257697196
Logistic Regression OvR,8,0.6146322132986236
Logistic Regression OvR,9,0.6682497542493202
Logistic Regression OvR,10,0.5974979139337452
Decision Tree,1,0.875638772412966
Decision Tree,2,0.8786638817725704
Decision Tree,3,0.9022621268314831
Decision Tree,4,0.857646701124962
Decision Tree,5,0.8813385038819662
Decision Tree,6,0.8881466924385176
Decision Tree,7,0.8740223252528283
Decision Tree,8,0.8613154001950979
Decision Tree,9,0.8741474946670462
Decision Tree,10,0.8584305454573998
Random Forest,1,0.8947581298482294
Random Forest,2,0.8901378288499965
Random Forest,3,0.88977273982582
Random Forest,4,0.8761204788618163
Random Forest,5,0.8940959507595578
Random Forest,6,0.8893550347743736
Random Forest,7,0.8798535153957957
Random Forest,8,0.8969346422975594
Random Forest,9,0.8933374972328666
Random Forest,10,0.8634963889967006
Gradient Boosting,1,0.8893040196155165
Gradient Boosting,2,0.9074322031512176
Gradient Boosting,3,0.9033851518037231
Gradient Boosting,4,0.8816763819179648
Gradient Boosting,5,0.8877452117931833
Gradient Boosting,6,0.8982790871679761
Gradient Boosting,7,0.9057778023080232
Gradient Boosting,8,0.9013413214162584
Gradient Boosting,9,0.8987286371956548
Gradient Boosting,10,0.8920131018830052
KNN,1,0.6845966973973745
KNN,2,0.7163126934427879
KNN,3,0.6893828305781252
KNN,4,0.7118169249799898
KNN,5,0.7116948027531128
KNN,6,0.7277483183489847
KNN,7,0.7350095361542511
KNN,8,0.6988731164884711
KNN,9,0.6909537810247081
KNN,10,0.6736809905125242
XGBoost,1,0.9036202214999988
XGBoost,2,0.9040361527948271
XGBoost,3,0.9270109901578539
XGBoost,4,0.8836193936095101
XGBoost,5,0.915790438302012
XGBoost,6,0.9025835604835531
XGBoost,7,0.9070955314664152
XGBoost,8,0.9144524454768357
XGBoost,9,0.9174499958088385
XGBoost,10,0.9008707050443722
