Model,Mostra,Precisio
Logistic Regression OvO,1,0.8686965599673284
Logistic Regression OvO,2,0.8697534734028486
Logistic Regression OvO,3,0.860922181728523
Logistic Regression OvO,4,0.8714408169700479
Logistic Regression OvO,5,0.8693003771244054
Logistic Regression OvO,6,0.8555352043459413
Logistic Regression OvO,7,0.8792681923529494
Logistic Regression OvO,8,0.9037033793240802
Logistic Regression OvO,9,0.8565886107035127
Logistic Regression OvO,10,0.86813221767221
Logistic Regression OvR,1,0.8663030572591176
Logistic Regression OvR,2,0.8720976714982198
Logistic Regression OvR,3,0.8598791810132808
Logistic Regression OvR,4,0.8739230083494774
Logistic Regression OvR,5,0.8748905437931067
Logistic Regression OvR,6,0.8684459818693157
Logistic Regression OvR,7,0.8852888140004972
Logistic Regression OvR,8,0.8998364681500234
Logistic Regression OvR,9,0.8516183540612537
Logistic Regression OvR,10,0.8627481211417654
SVC OvO,1,0.8818773116197591
SVC OvO,2,0.8669257022598152
SVC OvO,3,0.8674469274397278
SVC OvO,4,0.8765446398555179
SVC OvO,5,0.874165500410465
SVC OvO,6,0.8796833680997912
SVC OvO,7,0.9039125811464053
SVC OvO,8,0.9208243062003508
SVC OvO,9,0.8636916681630512
SVC OvO,10,0.8910012699160808
SVC OvR,1,0.8818773116197591
SVC OvR,2,0.8632007779992986
SVC OvR,3,0.8689366141491245
SVC OvR,4,0.8765446398555179
SVC OvR,5,0.8731630190985177
SVC OvR,6,0.8796833680997912
SVC OvR,7,0.8989075170001078
SVC OvR,8,0.9189391499118412
SVC OvR,9,0.8627538963545717
SVC OvR,10,0.88580274873322
Decision Tree,1,0.8293932751764078
Decision Tree,2,0.8437499514798135
Decision Tree,3,0.821386424149435
Decision Tree,4,0.8094883374267505
Decision Tree,5,0.8394899605347717
Decision Tree,6,0.8367173878622906
Decision Tree,7,0.8474582568984479
Decision Tree,8,0.8539302955261396
Decision Tree,9,0.8384885797898433
Decision Tree,10,0.832315215648549
Random Forest,1,0.8560237642747018
Random Forest,2,0.8649381556868413
Random Forest,3,0.8500880457799459
Random Forest,4,0.8594279183680468
Random Forest,5,0.8566403957708305
Random Forest,6,0.8516782731841398
Random Forest,7,0.8858743745037078
Random Forest,8,0.9014591826440936
Random Forest,9,0.8463810361354693
Random Forest,10,0.853789983286009
Gradient Boosting,1,0.8824083965618829
Gradient Boosting,2,0.8764867650925066
Gradient Boosting,3,0.8753133528659053
Gradient Boosting,4,0.8884884363655119
Gradient Boosting,5,0.8758598234690825
Gradient Boosting,6,0.8860886042562307
Gradient Boosting,7,0.8981975323210089
Gradient Boosting,8,0.911058706845615
Gradient Boosting,9,0.8702324158857784
Gradient Boosting,10,0.8844259772237612
KNN,1,0.8330819621604278
KNN,2,0.8247422837562116
KNN,3,0.8296181294283761
KNN,4,0.8396411383464576
KNN,5,0.8352429525629708
KNN,6,0.8374840541569291
KNN,7,0.8499952409964747
KNN,8,0.8618304500326972
KNN,9,0.8266917614872217
KNN,10,0.8255779969539686
XGBoost,1,0.8753861077491626
XGBoost,2,0.862183832606321
XGBoost,3,0.8419229315583562
XGBoost,4,0.8519250361285612
XGBoost,5,0.8600674252372061
XGBoost,6,0.8596419128703746
XGBoost,7,0.893833975452805
XGBoost,8,0.8784409399147896
XGBoost,9,0.8579070521416122
XGBoost,10,0.8535483121627757
