Model,Tipus,Mostra,Precisio
Logistic Regression,OVO,1,0.8456225261035141
Logistic Regression,OVO,2,0.8224590499269766
Logistic Regression,OVO,3,0.8563412633933752
Logistic Regression,OVO,4,0.8298217144118784
Logistic Regression,OVO,5,0.8313274850578233
Logistic Regression,OVO,6,0.8364826261259544
Logistic Regression,OVO,7,0.8679146497928675
Logistic Regression,OVO,8,0.8414248303137192
Logistic Regression,OVO,9,0.8410436333549475
Logistic Regression,OVO,10,0.8439350321927938
Logistic Regression,OVR,1,0.8446990136735454
Logistic Regression,OVR,2,0.8259733964891339
Logistic Regression,OVR,3,0.8571954665326386
Logistic Regression,OVR,4,0.827014340452469
Logistic Regression,OVR,5,0.8288045245984867
Logistic Regression,OVR,6,0.8286331936274384
Logistic Regression,OVR,7,0.8690469906195027
Logistic Regression,OVR,8,0.8530636199240563
Logistic Regression,OVR,9,0.8393383619508025
Logistic Regression,OVR,10,0.8294280912422479
Decision Tree,OVO,1,0.8156932599307402
Decision Tree,OVO,2,0.8489674268067752
Decision Tree,OVO,3,0.8263169077390721
Decision Tree,OVO,4,0.8047459488873282
Decision Tree,OVO,5,0.7949898944769789
Decision Tree,OVO,6,0.8319923632831037
Decision Tree,OVO,7,0.8309741438708498
Decision Tree,OVO,8,0.8352885343248575
Decision Tree,OVO,9,0.8598865106374713
Decision Tree,OVO,10,0.827318081971812
Decision Tree,OVR,1,0.8209093855108832
Decision Tree,OVR,2,0.8438509471543756
Decision Tree,OVR,3,0.8349864572545441
Decision Tree,OVR,4,0.8111005620951478
Decision Tree,OVR,5,0.8100440282037269
Decision Tree,OVR,6,0.8113188866856805
Decision Tree,OVR,7,0.8214442773611372
Decision Tree,OVR,8,0.8225509998374992
Decision Tree,OVR,9,0.863307125562424
Decision Tree,OVR,10,0.8191729347975336
Random Forest,OVO,1,0.8709484313113914
Random Forest,OVO,2,0.865557646294104
Random Forest,OVO,3,0.8524229279740815
Random Forest,OVO,4,0.8452428956407193
Random Forest,OVO,5,0.8337579954159214
Random Forest,OVO,6,0.8415962835371696
Random Forest,OVO,7,0.8570142775891098
Random Forest,OVO,8,0.8668273390186627
Random Forest,OVO,9,0.8622800091867728
Random Forest,OVO,10,0.851019405967032
Random Forest,OVR,1,0.879414044165002
Random Forest,OVR,2,0.8659191027018128
Random Forest,OVR,3,0.8597905593689189
Random Forest,OVR,4,0.8566057261124526
Random Forest,OVR,5,0.847888521275618
Random Forest,OVR,6,0.8324123969023351
Random Forest,OVR,7,0.8569730113993858
Random Forest,OVR,8,0.8630557374806317
Random Forest,OVR,9,0.8655369599611146
Random Forest,OVR,10,0.8479298939032027
Gradient Boosting,OVO,1,0.8891085405925253
Gradient Boosting,OVO,2,0.898961295838742
Gradient Boosting,OVO,3,0.8757768136782426
Gradient Boosting,OVO,4,0.8584324583990304
Gradient Boosting,OVO,5,0.8480288539116253
Gradient Boosting,OVO,6,0.8703642987848247
Gradient Boosting,OVO,7,0.8597545846166117
Gradient Boosting,OVO,8,0.8786097451431383
Gradient Boosting,OVO,9,0.8912933989490964
Gradient Boosting,OVO,10,0.8750161317565309
Gradient Boosting,OVR,1,0.8767741980856735
Gradient Boosting,OVR,2,0.8770058950643999
Gradient Boosting,OVR,3,0.8703860238161782
Gradient Boosting,OVR,4,0.8645419216987182
Gradient Boosting,OVR,5,0.8552541392713436
Gradient Boosting,OVR,6,0.8609898525959081
Gradient Boosting,OVR,7,0.8673342840874684
Gradient Boosting,OVR,8,0.8849044451114336
Gradient Boosting,OVR,9,0.8707084571568183
Gradient Boosting,OVR,10,0.8731687977004658
KNN,OVO,1,0.7969312516791546
KNN,OVO,2,0.7855067443850645
KNN,OVO,3,0.7869985236203457
KNN,OVO,4,0.7718512222139805
KNN,OVO,5,0.7488787098463212
KNN,OVO,6,0.7554003509152913
KNN,OVO,7,0.773245841761661
KNN,OVO,8,0.7672411628743055
KNN,OVO,9,0.7651624364184751
KNN,OVO,10,0.7672372184076416
KNN,OVR,1,0.7873185199351237
KNN,OVR,2,0.7709790790308113
KNN,OVR,3,0.7977076055654221
KNN,OVR,4,0.7812578366682142
KNN,OVR,5,0.7534606142869132
KNN,OVR,6,0.7533043917197553
KNN,OVR,7,0.7778174540332047
KNN,OVR,8,0.7805623046926141
KNN,OVR,9,0.77184772368195
KNN,OVR,10,0.781569617975148
XGBoost,OVO,1,0.8760616177358137
XGBoost,OVO,2,0.879909304090841
XGBoost,OVO,3,0.8707580663373106
XGBoost,OVO,4,0.8585250334796615
XGBoost,OVO,5,0.8374847012864209
XGBoost,OVO,6,0.8560641750517402
XGBoost,OVO,7,0.8583578443190768
XGBoost,OVO,8,0.8794397227679394
XGBoost,OVO,9,0.8631004807596776
XGBoost,OVO,10,0.8574117179653363
XGBoost,OVR,1,0.8857912179299218
XGBoost,OVR,2,0.8752142501271422
XGBoost,OVR,3,0.8513270076716717
XGBoost,OVR,4,0.8552143164457942
XGBoost,OVR,5,0.842800805757158
XGBoost,OVR,6,0.8395373132388397
XGBoost,OVR,7,0.8768959608994177
XGBoost,OVR,8,0.8790001668639587
XGBoost,OVR,9,0.8623670072055885
XGBoost,OVR,10,0.858742989073623
