Model,Mostra,Precisio
Decision Tree,1,0.8415761643521309
Decision Tree,2,0.8344086945672817
Decision Tree,3,0.8442968774211245
Decision Tree,4,0.7958498916019208
Decision Tree,5,0.8255176580436095
Decision Tree,6,0.8400152044232696
Decision Tree,7,0.841776366809003
Decision Tree,8,0.8273414402475079
Decision Tree,9,0.85456210669002
Decision Tree,10,0.8171657745823259
Random Forest,1,0.8569989095233396
Random Forest,2,0.8607140049578078
Random Forest,3,0.9095065948474205
Random Forest,4,0.8721431781672875
Random Forest,5,0.8708442227945948
Random Forest,6,0.8713910005375105
Random Forest,7,0.8837447803386868
Random Forest,8,0.8894387959196407
Random Forest,9,0.8930056990012165
Random Forest,10,0.8634019355474131
Gradient Boosting,1,0.8693243792497783
Gradient Boosting,2,0.8768016016281371
Gradient Boosting,3,0.8979234492201694
Gradient Boosting,4,0.8697828909677153
Gradient Boosting,5,0.8670229797754146
Gradient Boosting,6,0.8715985088953437
Gradient Boosting,7,0.8957665882087825
Gradient Boosting,8,0.8934015441043739
Gradient Boosting,9,0.872554929462146
Gradient Boosting,10,0.8397353588922396
XGBoost,1,0.8316037021483457
XGBoost,2,0.8446552795489047
XGBoost,3,0.8585894912976763
XGBoost,4,0.8244254541600227
XGBoost,5,0.8492474727131413
XGBoost,6,0.8686957906823468
XGBoost,7,0.8528354958685306
XGBoost,8,0.8408043843015643
XGBoost,9,0.8380057517085523
XGBoost,10,0.8358498720982999
