Model,Mostra,Precisio
Decision Tree,1,0.8731960252935863
Decision Tree,2,0.8486440566191004
Decision Tree,3,0.8509331632672956
Decision Tree,4,0.8615994778821975
Decision Tree,5,0.8568356153796893
Decision Tree,6,0.8575465616842771
Decision Tree,7,0.8877156720802114
Decision Tree,8,0.9014581793781214
Decision Tree,9,0.8469476686178181
Decision Tree,10,0.8690918551221264
Random Forest,1,0.8852748256106443
Random Forest,2,0.8707432025931361
Random Forest,3,0.8684970282212451
Random Forest,4,0.8770926695759286
Random Forest,5,0.8827502244648361
Random Forest,6,0.8772949402447131
Random Forest,7,0.9057113165605842
Random Forest,8,0.913583866981238
Random Forest,9,0.8613366571699905
Random Forest,10,0.8858700139014641
Gradient Boosting,1,0.8827692426703798
Gradient Boosting,2,0.8684958077364663
Gradient Boosting,3,0.8684970282212451
Gradient Boosting,4,0.8664802616748556
Gradient Boosting,5,0.8746290275025181
Gradient Boosting,6,0.8751962684813783
Gradient Boosting,7,0.8989419505490827
Gradient Boosting,8,0.913583866981238
Gradient Boosting,9,0.8592300530510751
Gradient Boosting,10,0.8858700139014641
XGBoost,1,0.8841517683342786
XGBoost,2,0.8692555738146471
XGBoost,3,0.8682910834332588
XGBoost,4,0.8825927599417746
XGBoost,5,0.8802170291271437
XGBoost,6,0.8787050459093296
XGBoost,7,0.8955154846272325
XGBoost,8,0.9027337820509342
XGBoost,9,0.8594980791943395
XGBoost,10,0.8846476165223652
