Model,Tipus,Mostra,Precisio
Logistic Regression,OVO,1,0.7475493558033836
Logistic Regression,OVO,2,0.6915173504795601
Logistic Regression,OVO,3,0.735381163478967
Logistic Regression,OVO,4,0.6416131435739278
Logistic Regression,OVO,5,0.7037055561112778
Logistic Regression,OVO,6,0.6455117594290737
Logistic Regression,OVO,7,0.714485921292204
Logistic Regression,OVO,8,0.7023680152845496
Logistic Regression,OVO,9,0.7101753051497074
Logistic Regression,OVO,10,0.6723259679786913
Logistic Regression,OVR,1,0.7393610113565589
Logistic Regression,OVR,2,0.6936289643558798
Logistic Regression,OVR,3,0.7104172388054447
Logistic Regression,OVR,4,0.5736674492517528
Logistic Regression,OVR,5,0.6976124373785192
Logistic Regression,OVR,6,0.6160045522132767
Logistic Regression,OVR,7,0.7099026486323838
Logistic Regression,OVR,8,0.6163931536602344
Logistic Regression,OVR,9,0.6918839236285453
Logistic Regression,OVR,10,0.6315689149560118
Decision Tree,OVO,1,0.8806216134858519
Decision Tree,OVO,2,0.8941717525981976
Decision Tree,OVO,3,0.9133204192974927
Decision Tree,OVO,4,0.8751259935335455
Decision Tree,OVO,5,0.8956225805419585
Decision Tree,OVO,6,0.8522695810564662
Decision Tree,OVO,7,0.90396610339169
Decision Tree,OVO,8,0.895647001970187
Decision Tree,OVO,9,0.880359327036604
Decision Tree,OVO,10,0.864087912087912
Decision Tree,OVR,1,0.8806216134858519
Decision Tree,OVR,2,0.8815437809430454
Decision Tree,OVR,3,0.8961978148361127
Decision Tree,OVR,4,0.8715966499692751
Decision Tree,OVR,5,0.8903079544334456
Decision Tree,OVR,6,0.8510712698067269
Decision Tree,OVR,7,0.889624830371317
Decision Tree,OVR,8,0.8723207518569046
Decision Tree,OVR,9,0.8572133374611778
Decision Tree,OVR,10,0.8483879843120153
Random Forest,OVO,1,0.9550219254896929
Random Forest,OVO,2,0.9154590786949276
Random Forest,OVO,3,0.8806139940782297
Random Forest,OVO,4,0.8384863141010964
Random Forest,OVO,5,0.9158952684023639
Random Forest,OVO,6,0.8923227661651364
Random Forest,OVO,7,0.9191041932575789
Random Forest,OVO,8,0.8888107012896871
Random Forest,OVO,9,0.8682500295403521
Random Forest,OVO,10,0.8874266324284665
Random Forest,OVR,1,0.9273382780600391
Random Forest,OVR,2,0.9154590786949276
Random Forest,OVR,3,0.8806139940782297
Random Forest,OVR,4,0.8547973989834455
Random Forest,OVR,5,0.900148097387146
Random Forest,OVR,6,0.897390061569166
Random Forest,OVR,7,0.9267827787800081
Random Forest,OVR,8,0.9122233384805244
Random Forest,OVR,9,0.8743323790303655
Random Forest,OVR,10,0.863126311479605
Gradient Boosting,OVO,1,0.968889332459011
Gradient Boosting,OVO,2,0.9281441536524898
Gradient Boosting,OVO,3,0.865387296313315
Gradient Boosting,OVO,4,0.8569847484518144
Gradient Boosting,OVO,5,0.8956225805419585
Gradient Boosting,OVO,6,0.9022693364005541
Gradient Boosting,OVO,7,0.9145997561268828
Gradient Boosting,OVO,8,0.8999413253166791
Gradient Boosting,OVO,9,0.881645138172729
Gradient Boosting,OVO,10,0.8706140227939074
Gradient Boosting,OVR,1,0.9572448722345142
Gradient Boosting,OVR,2,0.908137169427492
Gradient Boosting,OVR,3,0.8948467052660601
Gradient Boosting,OVR,4,0.8670943151058917
Gradient Boosting,OVR,5,0.8916746833413501
Gradient Boosting,OVR,6,0.8971277399848828
Gradient Boosting,OVR,7,0.9309219936186599
Gradient Boosting,OVR,8,0.9043607638254735
Gradient Boosting,OVR,9,0.8785781452448119
Gradient Boosting,OVR,10,0.8706140227939074
SVC,OVO,1,0.7445546785787945
SVC,OVO,2,0.7164854393200849
SVC,OVO,3,0.7352486658263832
SVC,OVO,4,0.651043861529533
SVC,OVO,5,0.7619501693161772
SVC,OVO,6,0.6926926202788272
SVC,OVO,7,0.724082113357416
SVC,OVO,8,0.7264970876649709
SVC,OVO,9,0.7488418588409146
SVC,OVO,10,0.6693746584829654
SVC,OVR,1,0.6627512694184161
SVC,OVR,2,0.6082763692696058
SVC,OVR,3,0.6983120825743777
SVC,OVR,4,0.6138035120838495
SVC,OVR,5,0.6999458369498469
SVC,OVR,6,0.5802806290611168
SVC,OVR,7,0.6062354583527222
SVC,OVR,8,0.6190099755317147
SVC,OVR,9,0.6964538972589062
SVC,OVR,10,0.6360698125404007
KNN,OVO,1,0.6855912760232261
KNN,OVO,2,0.7144936471669144
KNN,OVO,3,0.6904050093248496
KNN,OVO,4,0.7120825743776562
KNN,OVO,5,0.7010912682608211
KNN,OVO,6,0.6384531158998253
KNN,OVO,7,0.6864966836373189
KNN,OVO,8,0.6990150479125247
KNN,OVO,9,0.7089529379003063
KNN,OVO,10,0.6916070737703895
KNN,OVR,1,0.6855912760232261
KNN,OVR,2,0.7144936471669144
KNN,OVR,3,0.6904050093248496
KNN,OVR,4,0.7120825743776562
KNN,OVR,5,0.7010912682608211
KNN,OVR,6,0.6384531158998253
KNN,OVR,7,0.6864966836373189
KNN,OVR,8,0.6990150479125247
KNN,OVR,9,0.7089529379003063
KNN,OVR,10,0.6916070737703895
XGBoost,OVO,1,0.9416706750040084
XGBoost,OVO,2,0.9071136339948281
XGBoost,OVO,3,0.9122622780177209
XGBoost,OVO,4,0.881168583875995
XGBoost,OVO,5,0.9267959030685861
XGBoost,OVO,6,0.9126966795858159
XGBoost,OVO,7,0.9198236012449335
XGBoost,OVO,8,0.9175230169587215
XGBoost,OVO,9,0.9133431913490667
XGBoost,OVO,10,0.8843846574771056
XGBoost,OVR,1,0.9604675317565041
XGBoost,OVR,2,0.9223770804830392
XGBoost,OVR,3,0.9012442936035842
XGBoost,OVR,4,0.8706208743285475
XGBoost,OVR,5,0.9392182635978136
XGBoost,OVR,6,0.9310792349726776
XGBoost,OVR,7,0.8972264962322957
XGBoost,OVR,8,0.8946509760050486
XGBoost,OVR,9,0.8980835636244269
XGBoost,OVR,10,0.8858779553271661
