Model,Tipus,Mostra,Precisio
Logistic Regression,OVO,1,0.7819661375067198
Logistic Regression,OVO,2,0.7619789201613155
Logistic Regression,OVO,3,0.7625142277942557
Logistic Regression,OVO,4,0.7377676229161377
Logistic Regression,OVO,5,0.7946234001100102
Logistic Regression,OVO,6,0.7388099949390777
Logistic Regression,OVO,7,0.7913482103541548
Logistic Regression,OVO,8,0.7467059011728255
Logistic Regression,OVO,9,0.7434954913560393
Logistic Regression,OVO,10,0.7375778256704981
Logistic Regression,OVR,1,0.7982122779717095
Logistic Regression,OVR,2,0.7628586983136513
Logistic Regression,OVR,3,0.7478133957884737
Logistic Regression,OVR,4,0.6972741170572135
Logistic Regression,OVR,5,0.7835136143230139
Logistic Regression,OVR,6,0.6961196211447884
Logistic Regression,OVR,7,0.7379978272426785
Logistic Regression,OVR,8,0.7558634602112863
Logistic Regression,OVR,9,0.7406192716986779
Logistic Regression,OVR,10,0.742615891053391
Decision Tree,OVO,1,0.7743400706869892
Decision Tree,OVO,2,0.7174030059229067
Decision Tree,OVO,3,0.7930734452811058
Decision Tree,OVO,4,0.713076637993251
Decision Tree,OVO,5,0.7758229264266139
Decision Tree,OVO,6,0.701691323419339
Decision Tree,OVO,7,0.7206583673974979
Decision Tree,OVO,8,0.7259513757049999
Decision Tree,OVO,9,0.7525500716156652
Decision Tree,OVO,10,0.6995221060706666
Decision Tree,OVR,1,0.7732999990281545
Decision Tree,OVR,2,0.7164129040811203
Decision Tree,OVR,3,0.787172510938412
Decision Tree,OVR,4,0.6901589924087558
Decision Tree,OVR,5,0.7805395999204882
Decision Tree,OVR,6,0.6657976307615464
Decision Tree,OVR,7,0.7026085225009956
Decision Tree,OVR,8,0.7368907368907368
Decision Tree,OVR,9,0.7498680838233076
Decision Tree,OVR,10,0.6828943151079674
Random Forest,OVO,1,0.8109175377468061
Random Forest,OVO,2,0.8022220594488901
Random Forest,OVO,3,0.7844846634281128
Random Forest,OVO,4,0.7740234167544999
Random Forest,OVO,5,0.7390894132318934
Random Forest,OVO,6,0.7371612961280326
Random Forest,OVO,7,0.7336604769366688
